"識別碼","來源媒體","新聞分類","發布日期","新聞連結","folder","新聞標題","Source"
"news_eb6a9ebb13be62670e2478f7ddd91ca5","2011 ETtoday.net. All Rights Reserved.","y 軍武",2024-07-25 03:26:00,"https://www.ettoday.net/news/20240725/2782810.htm","政治新聞","烏克蘭外長訪中　美媒：尋求結束戰爭之道","NDC"
"news_a9806ff20fd7e3018ba30c51a8cbefa8","2011 ETtoday.net. All Rights Reserved.","國際新聞",2024-11-06 07:59:00,"https://www.ettoday.net/news/20241106/2849761.htm","國際新聞","提前祝賀川普當選！薩爾瓦多總統嗨翻發文　成全球元首第一人","NDC"
"news_184084c4821e8e366597ce3d54463d97","2011 ETtoday.net. All Rights Reserved.","國際新聞",2024-09-16 04:52:00,"https://www.ettoday.net/news/20240916/2817913.htm","國際新聞","SAFE！　川普遇襲後首發文報平安：以身為美國人而驕傲","NDC"
"news_41b9c13ff9d7862a4ef334e2bbad42af","2011 ETtoday.net. All Rights Reserved.","國際新聞",2024-10-01 01:17:00,"https://www.ettoday.net/news/20241001/2826844.htm","國際新聞","華郵專訪　川普：台灣國防預算「應占GDP10%」","NDC"
"news_d1d8e83953d220450f27c9b91ff80666","2011 ETtoday.net. All Rights Reserved.","國際新聞",2024-10-30 23:08:00,"https://www.ettoday.net/news/20241031/2845637.htm","國際新聞","拜登批川粉是「垃圾」惹議 　賀錦麗：不認同","NDC"
"news_70a5ebf2c3f96775200d024ff554c031","2011 ETtoday.net. All Rights Reserved.","國際新聞",2024-10-30 14:05:00,"https://www.ettoday.net/news/20241030/2845574.htm","國際新聞","美國總統大選結果何時出爐？　紐時回顧2次開票爭議始末","NDC"
"news_8eea9ef0bbb73e7b4028c4323e8d2766","2011 ETtoday.net. All Rights Reserved.","國際新聞",2024-10-09 07:40:00,"https://www.ettoday.net/news/20241009/2832252.htm","國際新聞","美「經濟指標穩健」選民卻悲觀　不利賀錦麗選情","NDC"
"news_63438cadb6b5e10f8f513bf3a43883b2","2011 ETtoday.net. All Rights Reserved.","國際新聞",2024-08-10 00:26:00,"https://www.ettoday.net/news/20240810/2794555.htm","國際新聞","超車川普！賀錦麗大逆轉　最新賭盤：勝選率逼近5成","NDC"
"news_e61df35ec98644e574e44e628454627c","2011 ETtoday.net. All Rights Reserved.","國際新聞",2024-10-17 02:26:00,"https://www.ettoday.net/news/20241017/2836758.htm","國際新聞","美前總統卡特剛過百歲生日！　郵寄投票「挺賀」：完成心願","NDC"
"news_6316ca703b62442a79513e954719e89b","2011 ETtoday.net. All Rights Reserved.","國際新聞",2024-07-21 18:28:00,"https://www.ettoday.net/news/20240722/2781901.htm","國際新聞","快訊／川普回應拜登退選「他是史上最糟總統」　換賀錦麗更好打","NDC"
"news_b462ae23990fbe54751470e435929ab1","2011 ETtoday.net. All Rights Reserved.","國際新聞",2024-11-05 11:55:00,"https://www.ettoday.net/news/20241105/2849181.htm","國際新聞","美選賭盤「投票前夕」變了！川普勝率下降　賀錦麗可望反超","NDC"
"news_5b9a2b92c5a2545087f3f3f94279bb41","2011 ETtoday.net. All Rights Reserved.","國際新聞",2024-08-23 09:29:00,"https://www.ettoday.net/news/20240823/2802898.htm","國際新聞","俄男遊泰「性侵母牛」下場超慘！不只捅傷屁屁　恐遣送回國上戰場","NDC"
"news_f263da534b21f7bd7e88c1af2be394de","2011 ETtoday.net. All Rights Reserved.","國際新聞",2024-07-24 03:36:00,"https://www.ettoday.net/news/20240724/2783462.htm","國際新聞","納坦雅胡訪美出席國會演說　將會見拜登、川普","NDC"
"news_c42f9945a1a0bfb490bcf55a9e699c15","2011 ETtoday.net. All Rights Reserved.","國際新聞",2024-07-24 23:22:00,"https://www.ettoday.net/news/20240725/2784070.htm","國際新聞","納坦雅胡赴美演說感謝川拜　強調兩國同仇敵愾","NDC"
"news_eba08d8e471ac6e7b142a4daff75da06","2011 ETtoday.net. All Rights Reserved.","國際新聞",2024-08-20 05:25:00,"https://www.ettoday.net/news/20240820/2800855.htm","國際新聞","拜登哭了！民主黨全代會感性告別　喊「我愛美國」力挺賀錦麗","NDC"
"news_e876d1ce362c72d18818f1a4fbb467f4","2011 ETtoday.net. All Rights Reserved.","國際新聞",2024-07-23 22:30:00,"https://www.ettoday.net/news/20240724/2783349.htm","國際新聞","賀錦麗48小時連創2紀錄！　 美史上僅4位副總統帶職參選總統成功","NDC"
"news_b77f89d8487f131eb4c15991deb241a6","2011 ETtoday.net. All Rights Reserved.","國際新聞",2024-10-24 01:30:00,"https://www.ettoday.net/news/20241024/2841105.htm","國際新聞","美國會選戰激烈　參眾兩院230多年來可能首度「雙雙變天」","NDC"
"news_454722b34c645c6d03e70cddd88b7113","2011 ETtoday.net. All Rights Reserved.","地方新聞",2024-11-06 13:01:00,"https://www.ettoday.net/news/20241106/2849989.htm","地方新聞","台中女大生騎車「2分鐘慘吞6罰單」　爸氣到砸毀機車！警方發聲了","NDC"
"news_eff22eebc8803094a59a349ce356eb03","2011 ETtoday.net. All Rights Reserved.","大陸新聞",2024-11-05 09:05:00,"https://www.ettoday.net/news/20241105/2849057.htm","兩岸新聞","狙擊手待命、設圍欄！陸保守關注美投票氛圍　學者無奈誰勝都一樣","NDC"
"news_b0a5ce81677d8b5a94362d88675aa6b1","2011 ETtoday.net. All Rights Reserved.","房產雲",2024-10-28 10:26:00,"https://house.ettoday.net/news/2817427","財經新聞","中東房市崛起！　川普提前布局5年內四處開花","NDC"
"news_04abc35210a0468c72a6b8129d0ebe5c","2011 ETtoday.net. All Rights Reserved.","政治新聞",2024-07-22 02:16:00,"https://www.ettoday.net/news/20240722/2781956.htm","政治新聞","拜登突退選！　邱毅揭：最後一根稻草是澤倫斯基做了「這件事」","NDC"
"news_7fa87d9e00796f0db89d3c85189f9dab","2011 ETtoday.net. All Rights Reserved.","社會新聞",2024-11-06 15:44:00,"https://www.ettoday.net/news/20241106/2850030.htm","社會新聞","台中男想娶老婆！花4.9萬作法「完全沒用」　怒提告命理師","NDC"
"news_503510cf8b0b487db8e6a5f5fc048480","2011 ETtoday.net. All Rights Reserved.","財經新聞",2024-11-06 12:17:00,"https://finance.ettoday.net/news/2849977","財經新聞","川普重返白宮「投資策略怎麼看？」　專家：股市終將反映基本面","NDC"
"news_265603c1ffdac9ecaf27dd0c391d2da5","2011 ETtoday.net. All Rights Reserved.","財經新聞",2024-10-25 08:07:00,"https://finance.ettoday.net/news/2842194","財經新聞","SCFI終止連八跌回升5.98%　歐洲線漲最多、台灣市場歐美線雙跌","NDC"
"news_1678ff1ba57b17de68ccb6962c51d32b","中央通訊社","兩岸透視",2024-11-06 10:33:56,"https://www.cna.com.tw/news/acn/202411060358.aspx","兩岸新聞","川普當選 台學者：美對台戰略清晰或模糊難預判","NDC"
"news_d9f5e53ec900524d105a1c4c168f575c","中央通訊社","國內政治",2024-10-11 10:23:32,"https://www.cna.com.tw/news/aipl/202410110312.aspx","政治新聞","林佳龍：台納入美多邊戰略架構 盼日扮演更重要角色【專訪】","NDC"
"news_9379e7c509a32dba204e9dcd69f7b78e","中央通訊社","國際焦點",2024-10-22 09:12:46,"https://www.cna.com.tw/news/aopl/202410220281.aspx","國際新聞","川普炸薯條造勢惹議 麥當勞：公司無政治立場","NDC"
"news_baffa7177236be1853d9d6677a1e8b6f","中央通訊社","國際焦點",2024-07-24 04:54:16,"https://www.cna.com.tw/news/aopl/202407240148.aspx","國際新聞","對手從白男變亞非裔女 共和黨阻黨員發動歧視攻擊","NDC"
"news_02a35738475cfb7471f89d5493c885c6","中央通訊社","國際焦點",2024-09-04 17:57:47,"https://www.cna.com.tw/news/aopl/202409050005.aspx","國際新聞","CNN美選6大搖擺州民調：賀錦麗贏2州、川普1州領先","NDC"
"news_a1fd8df573fcb9946c6834e4e3763a89","中央通訊社","國際焦點",2024-10-25 01:03:33,"https://www.cna.com.tw/news/aopl/202410250029.aspx","國際新聞","川普稱賀錦麗若入主白宮 將被習近平當小孩欺負","NDC"
"news_5f740797060cb6a2e209f011077e784e","中央通訊社","國際焦點",2024-10-24 08:21:26,"https://www.cna.com.tw/news/aopl/202410240231.aspx","國際新聞","賀錦麗川普搖擺州造勢 近2500萬選民已提前投票","NDC"
"news_d54283c201a503f66f5a0a93cda51cb9","中央通訊社","國際焦點",2024-10-16 03:20:37,"https://www.cna.com.tw/news/aopl/202410160073.aspx","國際新聞","賀錦麗對決川普選情熱 美關鍵搖擺州喬治亞提早投票首日票數創高","NDC"
"news_5420189686e4c51570256f3e87796291","中央通訊社","國際焦點",2024-07-23 19:41:32,"https://www.cna.com.tw/news/aopl/202407240013.aspx","國際新聞","維安疏失致川普遇刺 美特勤局長辭職：責任在我","NDC"
"news_a5753b6c0ae9321603b4c6dc2bef221d","中央通訊社","國際焦點",2024-08-30 06:34:27,"https://www.cna.com.tw/news/aopl/202408300180.aspx","國際新聞","川普幕僚動手推阿靈頓公墓官員 美國陸軍批不當攻擊","NDC"
"news_6b37845f5d79860179a407b6c7175e4b","中央通訊社","國際焦點",2024-10-30 14:00:57,"https://www.cna.com.tw/news/aopl/202410300499.aspx","國際新聞","共和黨世家表態 小布希之女芭芭拉宣布支持賀錦麗","NDC"
"news_c753b54720c6244e9f94dd22009a61a1","中央通訊社","國際焦點",2024-10-31 00:17:07,"https://www.cna.com.tw/news/aopl/202410310030.aspx","國際新聞","美總統大選墮胎議題難主導 民眾身體自主權前先顧飯碗","NDC"
"news_face7ad8567129b1b45acb798d08d853","中央通訊社","國際焦點",2024-11-01 01:51:30,"https://www.cna.com.tw/news/aopl/202411010046.aspx","國際新聞","美總統大選攻防芬太尼危機 母親們痛失愛子挺身而出","NDC"
"news_04f54fdcea0486b721fefa879d8a0ba9","中央通訊社","國際焦點",2024-07-27 10:00:28,"https://www.cna.com.tw/news/aopl/202407270200.aspx","國際新聞","川普爭取基督徒支持 指責賀錦麗「反猶太」","NDC"
"news_6814a27612e1bec5da741bc65451c57b","中央通訊社","國際焦點",2024-08-20 08:22:19,"https://www.cna.com.tw/news/aopl/202408200233.aspx","國際新聞","川普籲封口費案量刑宣判延至大選後 檢方：法官決定","NDC"
"news_e094038c1ee288ce837507e3bc5a67ad","中央通訊社","國際焦點",2024-10-22 13:05:00,"https://www.cna.com.tw/news/aopl/202410220400.aspx","國際新聞","誰當美總統對克宮都沒差？路透：俄官媒明顯青睞川普","NDC"
"news_fa0127103bfb3ebb78f7d7ef38505068","中央通訊社","國際焦點",2024-08-23 02:56:27,"https://www.cna.com.tw/news/aopl/202408230050.aspx","國際新聞","賀錦麗多族裔身分 反映美國人口演變趨勢","NDC"
"news_1ef6ff3566c5fb4bbb20ba2ce74e4837","中央通訊社","國際焦點",2024-10-09 11:39:37,"https://www.cna.com.tw/news/aopl/202410090406.aspx","國際新聞","路透社民調：賀錦麗贏川普3個百分點 領先幅度縮小","NDC"
"news_157ccca5ec820f2dab1e0b2394ab368f","中央通訊社","國際焦點",2024-08-13 03:15:54,"https://www.cna.com.tw/news/aopl/202408130057.aspx","國際新聞","與川普對談直播出狀況 馬斯克：遭遇大規模網攻","NDC"
"news_156c65ca5a50e0dde9c6842f926bc19b","中央通訊社","國際焦點",2024-09-20 01:58:54,"https://www.cna.com.tw/news/aopl/202409200044.aspx","國際新聞","美國大選逼近 共和黨緊咬移民議題白宮提反駁","NDC"
"news_b94369f6405830094a7bb91873e0e95e","中央通訊社","國際焦點",2024-09-07 04:26:12,"https://www.cna.com.tw/news/aopl/202409070081.aspx","國際新聞","共和黨人倒戈 美前副總統錢尼父女喊票投賀錦麗","NDC"
"news_e4b8e357f2b5206ac53f2f018a31c4a1","中央通訊社","國際焦點",2024-11-05 19:34:26,"https://www.cna.com.tw/news/aopl/202411060007.aspx","國際新聞","開票夜川普在佛州豪宅辦派對 賀錦麗返母校觀選情","NDC"
"news_8196f3798189008bb68d77937cab3166","中央通訊社","國際焦點",2024-10-10 01:26:47,"https://www.cna.com.tw/news/aopl/202410100039.aspx","國際新聞","川普接受波蘭電視台訪問  呼籲波蘭裔美國人投他","NDC"
"news_ba812a7d4f2786f4b32d501372e8fbcb","中央通訊社","地方新聞",2024-11-05 13:54:16,"https://www.cna.com.tw/news/ahel/202411050425.aspx","地方新聞","議員質疑淡海輕軌太慢  侯友宜：時速將提至60公里","NDC"
"news_7ec61f7fbdeaccc716bdb900e388ef0a","中央通訊社","文化新聞",2024-07-30 11:07:05,"https://www.cna.com.tw/news/acul/202407300349.aspx","文化體育新聞","徐華青春書寫「保持真誠」 願用善良方式看待世界","NDC"
"news_6201f2cd1acd1a0532be10e97e3bf087","中央通訊社","財經新聞",2024-10-28 10:29:58,"https://www.cna.com.tw/news/aopl/202410280291.aspx","財經新聞","美總統大選逼近 全球經濟領袖憂川普重返白宮","NDC"
"news_6be3c29774a28c18cf1495b024916b92","中央通訊社","財經新聞",2024-09-11 10:39:01,"https://www.cna.com.tw/news/afe/202409110336.aspx","財經新聞","日圓領漲 新台幣止貶回升收32.105元","NDC"
"news_b872137e04fcd6263837d3018325399f","中央通訊社","運動新聞",2024-08-05 02:17:30,"https://www.cna.com.tw/news/aspt/202408050053.aspx","文化體育新聞","阿爾及利亞女拳手克莉芙談性別風波：金牌是最佳回應","NDC"
"news_d462c9e3762c426a808b1e209b021174","自由時報","國際新聞",2024-07-23 21:30:00,"https://news.ltn.com.tw/news/world/paper/1658226","國際新聞","不管白宮誰當家 林芳正:延續日美維護台海","NDC"
"news_13e2930cb4b2d2aa14ef524a90e8a9bb","自由時報","國際新聞",2024-11-03 00:45:43,"https://news.ltn.com.tw/news/world/breakingnews/4850723","國際新聞","哈里遜福特挺賀錦麗 舉例前川普政府官員警告「別投川普」","NDC"
"news_2b7b3ef5faf699c6377441fd3e003c18","自由時報","國際新聞",2024-08-17 21:30:00,"https://news.ltn.com.tw/news/world/paper/1662395","國際新聞","華茲與中國過往 美眾院調查","NDC"
"news_a02b7ee4110f70cb9988dafa3feb49c5","自由時報","國際新聞",2024-11-06 13:04:52,"https://news.ltn.com.tw/news/world/breakingnews/4854890","國際新聞","川普重返白宮 莫斯科市民盼他終止烏俄戰爭","NDC"
"news_80cd7d05f17ebd774ec2554b296b93bf","自由時報","國際新聞",2024-09-08 07:08:16,"https://news.ltn.com.tw/news/world/breakingnews/4793784","國際新聞","臥底影片曝光！美司法部官員痛批川普案檢察官「扭曲司法」","NDC"
"news_0440c2ab135cb681efd112d61baa90d9","自由時報","國際新聞",2024-10-29 04:59:40,"https://news.ltn.com.tw/news/world/breakingnews/4845410","國際新聞","將川普造勢場比作納粹集會 賀錦麗陣營惹眾怒","NDC"
"news_734309191de0ffdb4c70eea6a69e4280","自由時報","國際新聞",2024-07-21 21:30:00,"https://news.ltn.com.tw/news/world/paper/1657829","國際新聞","拜登堅持不退 本週重返競選","NDC"
